Model,MAE,MSE,R2
LinearRegression,82657.94605892444,10549721686.160315,0.9146454505137985
RobustRegression,199465.5595542933,61664910393.249535,0.5010881990728173
RidgeRegression,82659.67244409776,10549745186.670174,0.91464526037841
LassoRegression,82657.94662172231,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102589,15081376466.559591,0.8779812271613102
PolynomialRegression,84130.33207690886,10878502751.649012,0.911985384157622
SGDRegressor,1.463231406987684e+18,2.179542340204423e+36,-1.763400590731212e+25
ANN,199176.6344681018,61406910049.54086,0.5031756004052552
RandomForest,97742.12242931529,14742409444.81616,0.8807237049528851
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
